package,rule,violations
ecl_statistics,MAX_COM_RATIO,2
ecl_statistics,MAX_COM_RATIO,2
ecl_statistics,MAX_LINE_LENGTH,38
ecl_statistics,SPACES_OVER_TABS,190
ecl_statistics,OPEN_CURLY_BRACE,34
ecl_statistics,INDENT_ACCESS_MODIFIERS,9
ecl_statistics,BLANK_LINES_IN_CODE_BLOCKS,8
ecl_statistics,WHITESPACE_BEFORE_PARENTHESIS,4
ecl_statistics,WHITESPACE_AFTER_COMMA,78
ecl_statistics,ELSE_STATEMENT_ON_ITS_LINE,2
ecl_statistics,ELSE_BRACES,2
ecl_statistics,ONE_COMMAND_PER_LINE,16
ecl_statistics,CLOSE_CURLY_BRACE,6
ecl_statistics,LICENSE_STATEMENT,4
ecl_statistics,WHITESPACE_AFTER_PARENTHESIS,4
ecl_statistics,WHITESPACE_BEFORE_PARENTHESIS,4
ecl_statistics,WHITESPACE_BEFORE_COMMENTS,5
ecl_statistics,WHITESPACE_BEFORE_COMMENT_TEXT,19
ecl_statistics,INCLUDE_ORDER,4
ecl_statistics,POINTLESS_EMPTY_STATEMENT,6
ecl_statistics,DEFAULT_ARGUMENTS,2
ecl_statistics,INTEGER_TYPES,2
ecl_statistics,EXPLICIT_CONSTRUCTORS,4
sr_hand,MIN_COM_RATIO,3
sr_hand,MAX_COM_RATIO,26
sr_hand,MAX_COM_RATIO,26
sr_hand,MAX_CC,3
sr_hand,MAX_COUPLING,9
sr_hand,MAX_LINE_LENGTH,227
sr_hand,OPEN_CURLY_BRACE,353
sr_hand,INDENT_ACCESS_MODIFIERS,25
sr_hand,ELSE_STATEMENT_ON_ITS_LINE,15
sr_hand,NAMESPACE_INDENTATION,17
sr_hand,HEADER_GUARD_FORMAT,10
sr_hand,HEADER_GUARD_FORMAT,10
sr_hand,HEADER_GUARD_CLOSE,10
sr_hand,INCLUDE_ORDER,96
sr_hand,C_SYSTEM_HEADERS,5
sr_hand,NON_CONST_REFERENCE_PARAMETERS,7
sr_hand,UNUSED_VARIABLES,4
sr_hand,REDUNDANT_EXPRESSIONS,6
sr_hand,SMALLEST_SCOPE,2
sr_hand,INTEGER_TYPES,48
sr_mechanism_controllers,MIN_COM_RATIO,4
sr_mechanism_controllers,MAX_COM_RATIO,24
sr_mechanism_controllers,MAX_COM_RATIO,22
sr_mechanism_controllers,MAX_CC,15
sr_mechanism_controllers,MAX_CC,10
sr_mechanism_controllers,MAX_COUPLING,15
sr_mechanism_controllers,MAX_FUNCTION_PARAMETERS,1
sr_mechanism_controllers,MAX_LINE_LENGTH,471
sr_mechanism_controllers,OPEN_CURLY_BRACE,528
sr_mechanism_controllers,INDENT_ACCESS_MODIFIERS,33
sr_mechanism_controllers,ELSE_STATEMENT_ON_ITS_LINE,75
sr_mechanism_controllers,NAMESPACE_INDENTATION,13
sr_mechanism_controllers,HEADER_GUARD_FORMAT,1
sr_mechanism_controllers,HEADER_GUARD_FORMAT,1
sr_mechanism_controllers,HEADER_GUARD_CLOSE,1
sr_mechanism_controllers,INCLUDE_ORDER,84
sr_mechanism_controllers,C_SYSTEM_HEADERS,9
sr_mechanism_controllers,NON_CONST_REFERENCE_PARAMETERS,84
sr_mechanism_controllers,INITIALIZE_MEMBER_VARIABLES,1
sr_mechanism_controllers,REDUNDANT_EXPRESSIONS,2
sr_mechanism_controllers,SMALLEST_SCOPE,1
sr_mechanism_controllers,INTEGER_TYPES,50
sr_mechanism_controllers,FLOAT_ACCURACY,4
cob_frame_tracker,MIN_COM_RATIO,4
cob_frame_tracker,MAX_COM_RATIO,3
cob_frame_tracker,MAX_COM_RATIO,1
cob_frame_tracker,MAX_CC,4
cob_frame_tracker,MAX_CC,1
cob_frame_tracker,MAX_COUPLING,4
cob_frame_tracker,MAX_LINE_LENGTH,97
cob_frame_tracker,OPEN_CURLY_BRACE,124
cob_frame_tracker,OPEN_CURLY_BRACE,2
cob_frame_tracker,INDENT_ACCESS_MODIFIERS,6
cob_frame_tracker,WHITESPACE_AROUND_ASSIGNMENT,1
cob_frame_tracker,WHITESPACE_AROUND_BINARY_OPERA,1
cob_frame_tracker,WHITESPACE_BEFORE_PARENTHESIS,35
cob_frame_tracker,WHITESPACE_AFTER_COMMA,3
cob_frame_tracker,WHITESPACE_BEFORE_OPENING_BRAC,3
cob_frame_tracker,ELSE_STATEMENT_ON_ITS_LINE,19
cob_frame_tracker,WHITESPACE_AT_END_OF_LINE,9
cob_frame_tracker,LICENSE_STATEMENT,2
cob_frame_tracker,WHITESPACE_AFTER_PARENTHESIS,15
cob_frame_tracker,WHITESPACE_BEFORE_PARENTHESIS,10
cob_frame_tracker,WHITESPACE_BEFORE_COMMENTS,6
cob_frame_tracker,WHITESPACE_BEFORE_COMMENT_TEXT,51
cob_frame_tracker,HEADER_GUARD_FORMAT,2
cob_frame_tracker,HEADER_GUARD_CLOSE,2
cob_frame_tracker,INCLUDE_ORDER,31
cob_frame_tracker,INCLUDE_WHAT_YOU_USE,5
cob_frame_tracker,C_SYSTEM_HEADERS,2
cob_frame_tracker,NON_CONST_REFERENCE_PARAMETERS,6
cob_frame_tracker,INTEGER_TYPES,13
turtlebot_teleop,MAX_COM_RATIO,1
turtlebot_teleop,MAX_COM_RATIO,1
turtlebot_teleop,MAX_COUPLING,1
turtlebot_teleop,MAX_LINE_LENGTH,2
turtlebot_teleop,OPEN_CURLY_BRACE,7
turtlebot_teleop,INDENT_ACCESS_MODIFIERS,2
turtlebot_teleop,BLANK_LINES_IN_CODE_BLOCKS,1
turtlebot_teleop,WHITESPACE_AROUND_ASSIGNMENT,2
turtlebot_teleop,WHITESPACE_BEFORE_PARENTHESIS,1
turtlebot_teleop,ELSE_STATEMENT_ON_ITS_LINE,1
turtlebot_teleop,WHITESPACE_AT_END_OF_LINE,1
turtlebot_teleop,INCLUDE_ORDER,1
turtlebot_teleop,INTEGER_TYPES,2
sr_example,MAX_COM_RATIO,1
sr_example,MAX_COM_RATIO,1
sr_example,MAX_LINE_LENGTH,2
sr_example,OPEN_CURLY_BRACE,3
sr_example,INCLUDE_ORDER,2
sr_example,INTEGER_TYPES,1
turtlebot_arm_ikfast_plugin,MIN_COM_RATIO,1
turtlebot_arm_ikfast_plugin,MAX_COM_RATIO,2
turtlebot_arm_ikfast_plugin,MAX_COM_RATIO,1
turtlebot_arm_ikfast_plugin,MAX_CC,6
turtlebot_arm_ikfast_plugin,MAX_CC,4
turtlebot_arm_ikfast_plugin,MAX_COUPLING,2
turtlebot_arm_ikfast_plugin,MAX_FUNCTION_PARAMETERS,10
turtlebot_arm_ikfast_plugin,MAX_LINE_LENGTH,540
turtlebot_arm_ikfast_plugin,OPEN_CURLY_BRACE,339
turtlebot_arm_ikfast_plugin,OPEN_CURLY_BRACE,52
turtlebot_arm_ikfast_plugin,INDENT_ACCESS_MODIFIERS,10
turtlebot_arm_ikfast_plugin,BLANK_LINES_IN_CODE_BLOCKS,90
turtlebot_arm_ikfast_plugin,WHITESPACE_AROUND_ASSIGNMENT,2030
turtlebot_arm_ikfast_plugin,WHITESPACE_AROUND_BINARY_OPERA,10
turtlebot_arm_ikfast_plugin,WHITESPACE_BEFORE_PARENTHESIS,134
turtlebot_arm_ikfast_plugin,WHITESPACE_INSIDE_PARENTHESIS,1
turtlebot_arm_ikfast_plugin,WHITESPACE_AFTER_COMMA,93
turtlebot_arm_ikfast_plugin,WHITESPACE_AFTER_SEMICOLON,3
turtlebot_arm_ikfast_plugin,WHITESPACE_BEFORE_OPENING_BRAC,4
turtlebot_arm_ikfast_plugin,ELSE_STATEMENT_ON_ITS_LINE,48
turtlebot_arm_ikfast_plugin,ELSE_BRACES,44
turtlebot_arm_ikfast_plugin,SINGLE_STATEMENT_IF_ELSE,2
turtlebot_arm_ikfast_plugin,WHITESPACE_AT_END_OF_LINE,36
turtlebot_arm_ikfast_plugin,ONE_COMMAND_PER_LINE,103
turtlebot_arm_ikfast_plugin,CLOSE_CURLY_BRACE,39
turtlebot_arm_ikfast_plugin,LICENSE_STATEMENT,1
turtlebot_arm_ikfast_plugin,END_OF_NAMESPACE_COMMENT,4
turtlebot_arm_ikfast_plugin,WHITESPACE_AFTER_PARENTHESIS,6
turtlebot_arm_ikfast_plugin,WHITESPACE_BEFORE_PARENTHESIS,8
turtlebot_arm_ikfast_plugin,WHITESPACE_BEFORE_COMMENTS,26
turtlebot_arm_ikfast_plugin,WHITESPACE_BEFORE_COMMENT_TEXT,10
turtlebot_arm_ikfast_plugin,INCLUDE_DIRECTORY_IN_HEADER,1
turtlebot_arm_ikfast_plugin,HEADER_GUARD_FORMAT,1
turtlebot_arm_ikfast_plugin,HEADER_GUARD_FORMAT,1
turtlebot_arm_ikfast_plugin,HEADER_GUARD_CLOSE,1
turtlebot_arm_ikfast_plugin,INCLUDE_ORDER,11
turtlebot_arm_ikfast_plugin,INCLUDE_WHAT_YOU_USE,2
turtlebot_arm_ikfast_plugin,C_SYSTEM_HEADERS,2
turtlebot_arm_ikfast_plugin,NAMESPACE_USING_DIRECTIVES,3
turtlebot_arm_ikfast_plugin,VARIABLE_LENGTH_ARRAYS,1
turtlebot_arm_ikfast_plugin,NON_CONST_REFERENCE_PARAMETERS,24
turtlebot_arm_ikfast_plugin,DEPRECATED_CASTING,13
turtlebot_arm_ikfast_plugin,INITIALIZE_MEMBER_VARIABLES,1
turtlebot_arm_ikfast_plugin,UNUSED_VARIABLES,9
turtlebot_arm_ikfast_plugin,REDUNDANT_EXPRESSIONS,3
turtlebot_arm_ikfast_plugin,DEFAULT_ARGUMENTS,5
turtlebot_arm_ikfast_plugin,STD_VECTOR_BOOL,1
turtlebot_arm_ikfast_plugin,INTEGER_TYPES,119
yocs_velocity_smoother,MIN_COM_RATIO,1
yocs_velocity_smoother,MAX_COM_RATIO,1
yocs_velocity_smoother,MAX_CC,1
yocs_velocity_smoother,MAX_CC,1
yocs_velocity_smoother,MAX_LINE_LENGTH,53
yocs_velocity_smoother,OPEN_CURLY_BRACE,35
yocs_velocity_smoother,OPEN_CURLY_BRACE,4
yocs_velocity_smoother,INDENT_ACCESS_MODIFIERS,4
yocs_velocity_smoother,WHITESPACE_AROUND_UNARY_OPERAT,1
yocs_velocity_smoother,ELSE_STATEMENT_ON_ITS_LINE,7
yocs_velocity_smoother,SPACE_INDENTATION,1
yocs_velocity_smoother,ONE_COMMAND_PER_LINE,2
yocs_velocity_smoother,CLOSE_CURLY_BRACE,1
yocs_velocity_smoother,LICENSE_STATEMENT,2
yocs_velocity_smoother,END_OF_NAMESPACE_COMMENT,1
yocs_velocity_smoother,WHITESPACE_AFTER_PARENTHESIS,1
yocs_velocity_smoother,WHITESPACE_BEFORE_COMMENTS,5
yocs_velocity_smoother,TODO_COMMENT_FORMAT,1
yocs_velocity_smoother,INCLUDE_ORDER,2
yocs_velocity_smoother,INCLUDE_WHAT_YOU_USE,4
yocs_velocity_smoother,POINTLESS_EMPTY_STATEMENT,4
yocs_velocity_smoother,NON_CONST_REFERENCE_PARAMETERS,2
yocs_velocity_smoother,DEPRECATED_CASTING,2
yocs_velocity_smoother,UNUSED_VARIABLES,1
yocs_velocity_smoother,INTEGER_TYPES,2
yocs_velocity_smoother,FLOAT_ACCURACY,1
yocs_velocity_smoother,EXPLICIT_CONSTRUCTORS,1
ocean_battery_driver,MIN_COM_RATIO,3
ocean_battery_driver,MAX_CC,8
ocean_battery_driver,MAX_CC,4
ocean_battery_driver,MAX_COUPLING,1
ocean_battery_driver,MAX_LINE_LENGTH,82
ocean_battery_driver,SPACES_OVER_TABS,4
ocean_battery_driver,OPEN_CURLY_BRACE,138
ocean_battery_driver,OPEN_CURLY_BRACE,4
ocean_battery_driver,INDENT_ACCESS_MODIFIERS,8
ocean_battery_driver,BLANK_LINES_IN_CODE_BLOCKS,11
ocean_battery_driver,WHITESPACE_BEFORE_PARENTHESIS,50
ocean_battery_driver,WHITESPACE_AFTER_COMMA,35
ocean_battery_driver,ELSE_STATEMENT_ON_ITS_LINE,12
ocean_battery_driver,ELSE_BRACES,1
ocean_battery_driver,WHITESPACE_AT_END_OF_LINE,39
ocean_battery_driver,NAMESPACE_INDENTATION,2
ocean_battery_driver,CLOSE_CURLY_BRACE,24
ocean_battery_driver,LICENSE_STATEMENT,3
ocean_battery_driver,END_OF_NAMESPACE_COMMENT,2
ocean_battery_driver,WHITESPACE_AFTER_PARENTHESIS,24
ocean_battery_driver,WHITESPACE_BEFORE_PARENTHESIS,152
ocean_battery_driver,WHITESPACE_BEFORE_COMMENTS,13
ocean_battery_driver,WHITESPACE_BEFORE_COMMENT_TEXT,50
ocean_battery_driver,INCLUDE_DIRECTORY_IN_HEADER,3
ocean_battery_driver,HEADER_GUARD,1
ocean_battery_driver,INCLUDE_ORDER,25
ocean_battery_driver,UNNAMED_PARAMETERS,1
ocean_battery_driver,INCLUDE_WHAT_YOU_USE,3
ocean_battery_driver,C_SYSTEM_HEADERS,10
ocean_battery_driver,C_STANDARD_LIBRARY,7
ocean_battery_driver,EMPTY_STATEMENT,1
ocean_battery_driver,C_TYPES,6
ocean_battery_driver,NAMESPACE_USING_DIRECTIVES,6
ocean_battery_driver,SNPRINTF_ARGUMENTS,4
ocean_battery_driver,STRING_PRINT_C_FUNCTIONS,4
ocean_battery_driver,DEPRECATED_CASTING,12
ocean_battery_driver,UNUSED_VARIABLES,5
ocean_battery_driver,CASE_FALL_THROUGH,21
ocean_battery_driver,MAX_POINTER_INDIRECTION,6
ocean_battery_driver,STD_VECTOR_BOOL,3
ocean_battery_driver,INTEGER_TYPES,124
ocean_battery_driver,ORDER_OF_EVALUATION,3
