package,cc_min,cc_max,cc_avg
ecl_statistics,1.0,3.0,2.14285714286
sr_hand,1.0,14.0,2.46534653465
sr_mechanism_controllers,1.0,46.0,5.72727272727
cob_frame_tracker,1.0,16.0,5.09090909091
turtlebot_teleop,3.0,3.0,3.0
sr_example,1.0,2.0,1.5
turtlebot_arm_ikfast_plugin,1.0,579.0,14.5454545455
yocs_velocity_smoother,1.0,25.0,4.88888888889
ocean_battery_driver,1.0,47.0,8.12903225806
naoqi_driver,1.0,22.0,2.41871921182
ecl_exceptions,1.0,2.0,1.28571428571
sr_ronex_hardware_interface,5.0,5.0,5.0
sr_ronex_examples,1.0,4.0,2.07692307692
yocs_navigator,1.0,8.0,3.3
cob_voltage_control,2.0,21.0,8.66666666667
ecl_devices,1.0,19.0,5.46296296296
ecl_io,2.0,37.0,15.25
cyberglove,1.0,53.0,4.73076923077
cob_lookat_action,2.0,12.0,7.25
cob_twist_controller,1.0,16.0,3.06666666667
roboteq_driver,1.0,9.0,4.0
pano_core,1.0,31.0,3.06349206349
cob_teleop,1.0,149.0,16.75
ecl_containers,1.0,4.0,1.73333333333
cob_collision_velocity_filter,1.0,36.0,10.6666666667
ecl_streams,1.0,6.0,1.86666666667
joint_trajectory_action,1.0,21.0,6.85714285714
cob_control_mode_adapter,1.0,18.0,8.2
cob_image_flip,1.0,35.0,5.1
pr2_gripper_sensor_action,1.0,18.0,2.26153846154
pr2_head_action,1.0,38.0,8.83333333333
cob_phidgets,1.0,14.0,2.45161290323
cob_trajectory_controller,1.0,17.0,4.25490196078
ecl_mpl,1.0,2.0,1.5
single_joint_position_action,1.0,6.0,2.83333333333
cob_utilities,1.0,30.0,4.45283018868
turtlebot_actions,1.0,15.0,5.77777777778
schunk_sdh,1.0,14.0,4.89189189189
schunk_libm5api,1.0,79.0,7.57014925373
cob_base_velocity_smoother,1.0,8.0,4.4
cob_kinematics,1.0,3186.0,47.4811320755
cob_camera_sensors,1.0,43.0,6.36363636364
kobuki_controller_tutorial,1.0,2.0,1.2
turtlebot_arm_block_manipulation,1.0,20.0,4.07692307692
cob_cam3d_throttle,1.0,3.0,1.66666666667
pr2_navigation_self_filter,1.0,34.0,4.72151898734
ros_ethercat_hardware,1.0,16.0,5.60714285714
sr_hardware_interface,1.0,3.0,1.55555555556
pr2_ethercat,1.0,6.0,2.2
yocs_safety_controller,1.0,5.0,2.57142857143
ecl_converters_lite,1.0,4.0,2.25
pr2_arm_kinematics,1.0,25.0,5.41666666667
ur_kinematics,1.0,144.0,11.05
pr2_power_board,1.0,29.0,5.79365079365
ecl_ipc,1.0,10.0,4.33333333333
cob_light,1.0,22.0,3.025
ecl_sigslots,1.0,2.0,1.23076923077
robot_mechanism_controllers,1.0,175.0,18.0833333333
sr_utilities,1.0,8.0,1.9696969697
cyberglove_trajectory,1.0,9.0,4.42857142857
cob_canopen_motor,1.0,37.0,3.52459016393
pr2_mechanism_diagnostics,1.0,5.0,3.125
cob_sick_s300,1.0,24.0,5.74285714286
cob_linear_nav,1.0,19.0,6.2
sr_ronex_utilities,1.0,9.0,2.6
industrial_utils,1.0,12.0,4.77777777778
ecl_threads,1.0,27.0,4.43181818182
cob_obstacle_distance,1.0,19.0,3.56451612903
ros_ethercat_loop,1.0,20.0,6.08333333333
ethercat_hardware,1.0,33.0,6.01226993865
yocs_diff_drive_pose_controller,1.0,15.0,4.2
turtlebot_navigation,3.0,4.0,3.5
kobuki_auto_docking,1.0,6.0,2.14285714286
ecl_time_lite,1.0,14.0,6.35294117647
sr_ronex_transmissions,1.0,17.0,5.83333333333
kobuki_node,1.0,15.0,4.36363636364
cob_sound,1.0,6.0,2.0
pano_py,1.0,29.0,3.94444444444
grizzly_base,3.0,3.0,3.0
sr_self_test,1.0,30.0,3.91666666667
cob_footprint_observer,1.0,38.0,9.14285714286
pr2_mechanism_controllers,1.0,64.0,7.25714285714
ecl_converters,1.0,5.0,1.89473684211
yocs_ar_pair_tracking,1.0,8.0,1.72727272727
sr_remappers,1.0,9.0,3.0
joint_trajectory_generator,1.0,11.0,4.1
yocs_keyop,1.0,11.0,3.83333333333
grizzly_teleop,1.0,15.0,6.0
yocs_math_toolkit,1.0,9.0,1.76744186047
ecl_geometry,1.0,13.0,2.16091954023
sr_movements,1.0,10.0,3.77777777778
nao_path_follower,1.0,35.0,6.6875
kobuki_dock_drive,1.0,11.0,3.45454545455
ecl_errors,1.0,1.0,1.0
app_manager,1.0,1.0,1.0
cob_scan_unifier,1.0,14.0,3.625
ecl_eigen,1.0,63.0,2.80895008606
cob_cartesian_controller,1.0,21.0,5.2962962963
husky_base,1.0,32.0,2.0447761194
yocs_controllers,1.0,3.0,2.33333333333
ecl_time,1.0,30.0,3.89189189189
semantic_point_annotator,1.0,14.0,2.6
cob_relayboard,1.0,20.0,4.47222222222
abb_driver,1.0,2.0,1.33333333333
cob_interactive_teleop,1.0,5.0,2.28571428571
pr2_run_stop_auto_restart,1.0,7.0,4.0
cob_vision_utils,1.0,28.0,9.70588235294
pr2_gripper_action,1.0,9.0,3.4
turtlebot_panorama,1.0,17.0,4.0
ecl_mobile_robot,1.0,2.0,1.28571428571
pr2_teleop_general,1.0,158.0,11.5102040816
sr_robot_lib,1.0,38.0,4.95238095238
yocs_joyop,9.0,10.0,9.5
ecl_core_apps,1.0,17.0,4.97142857143
ecl_utilities,1.0,7.0,1.24528301887
ecl_filesystem,1.0,1.0,1.0
yocs_waypoints_navi,3.0,19.0,7.25
ecl_concepts,1.0,1.0,1.0
ecl_math,1.0,5.0,1.85714285714
ros_ethercat_eml,1.0,34.0,2.59677419355
cob_head_axis,1.0,22.0,2.47368421053
simple_message,1.0,15.0,2.50537634409
abb_irb2400_moveit_plugins,1.0,430.0,12.8
ecl_linear_algebra,1.0,7.0,1.6
pr2_navigation_perception,3.0,6.0,5.0
pr2_gripper_sensor_controller,1.0,25.0,4.89189189189
pr2_tilt_laser_interface,1.0,9.0,2.77777777778
kobuki_driver,1.0,53.0,4.26
sr_gazebo_sim,2.0,8.0,3.5
hand_kinematics,1.0,31.0,6.34285714286
pr2_controller_manager,1.0,28.0,6.27027027027
ethercat_trigger_controllers,1.0,13.0,4.47058823529
ecl_formatters,1.0,8.0,2.15
pr2_calibration_controllers,1.0,93.0,37.1428571429
kobuki_ftdi,1.0,25.0,7.96
ecl_sigslots_lite,1.0,12.0,2.81818181818
sr_tactile_sensors,1.0,9.0,2.5
nao_teleop,1.0,13.0,3.30769230769
grizzly_motion,1.0,18.0,4.13793103448
cob_generic_can,1.0,23.0,3.92307692308
turtlebot_follower,5.0,14.0,9.5
ecl_type_traits,1.0,2.0,1.25
sr_ronex_drivers,1.0,18.0,3.61764705882
sr_edc_ethercat_drivers,1.0,12.0,3.48
kobuki_safety_controller,1.0,2.0,1.33333333333
pr2_arm_move_ik,1.0,12.0,3.88235294118
cob_undercarriage_ctrl,1.0,15.0,5.0
pr2_computer_monitor,3.0,8.0,5.33333333333
cob_pick_place_action,1.0,12.0,3.32142857143
laser_tilt_controller_filter,1.0,12.0,6.4
sr_ronex_controllers,1.0,33.0,10.4285714286
ros_ethercat_model,1.0,10.0,3.61904761905
cob_model_identifier,1.0,13.0,5.72727272727
cob_object_detection_visualizer,1.0,9.0,5.0
sr_mechanism_model,4.0,9.0,6.4
kobuki_bumper2pc,1.0,13.0,7.0
industrial_robot_client,1.0,13.0,3.92
schunk_powercube_chain,1.0,34.0,3.20618556701
yocs_waypoint_provider,1.0,10.0,3.11111111111
cob_sick_lms1xx,1.0,49.0,8.72727272727
cob_omni_drive_controller,1.0,20.0,3.5641025641
yocs_cmd_vel_mux,1.0,6.0,3.2
ar_track_alvar,1.0,102.0,5.4914893617
cob_base_drive_chain,1.0,47.0,9.0
turtlebot_arm_kinect_calibration,1.0,8.0,2.72727272727
yocs_ar_marker_tracking,1.0,12.0,4.0
grizzly_msgs,1.0,5.0,2.25
pr2_hardware_interface,1.0,2.0,1.5
yocs_virtual_sensor,1.0,13.0,3.46153846154
kobuki_random_walker,1.0,22.0,8.0
ecl_command_line,1.0,16.0,3.08791208791
power_monitor,1.0,13.0,2.775
kobuki_keyop,1.0,10.0,3.75
ecl_config,1.0,84.0,11.625
kdl_coupling,1.0,17.0,3.46153846154
orocos_kdl,1.0,87.0,2.78833693305
pr2_teleop,1.0,30.0,9.625
pr2_mechanism_model,1.0,63.0,5.34782608696
