package,com_min,com_max,com_avg,com_sum
ecl_statistics,58.0,92.0,75.0,150.0
sr_hand,26.0,157.0,53.2058823529,1809.0
sr_mechanism_controllers,25.0,97.0,44.875,1436.0
cob_frame_tracker,0.0,79.0,30.1666666667,181.0
turtlebot_teleop,28.0,28.0,28.0,28.0
sr_example,89.0,89.0,89.0,89.0
turtlebot_arm_ikfast_plugin,46.0,189.0,106.333333333,319.0
yocs_velocity_smoother,5.0,67.0,36.0,72.0
ocean_battery_driver,9.0,143.0,55.5,222.0
naoqi_driver,0.0,145.0,27.77,2777.0
ecl_exceptions,2.0,32.0,18.5,111.0
sr_ronex_hardware_interface,32.0,34.0,33.0,66.0
sr_ronex_examples,21.0,72.0,45.3333333333,272.0
yocs_navigator,4.0,9.0,5.75,46.0
cob_voltage_control,5.0,17.0,11.0,22.0
ecl_devices,3.0,261.0,56.7941176471,1931.0
ecl_io,0.0,43.0,20.75,166.0
cyberglove,27.0,144.0,62.2,622.0
cob_lookat_action,40.0,40.0,40.0,40.0
cob_twist_controller,0.0,97.0,39.2448979592,1923.0
roboteq_driver,4.0,29.0,18.6,93.0
pano_core,0.0,90.0,17.0652173913,785.0
cob_teleop,3.0,262.0,86.2,431.0
ecl_containers,0.0,44.0,18.5217391304,426.0
cob_collision_velocity_filter,74.0,129.0,100.0,400.0
ecl_streams,0.0,77.0,15.5789473684,296.0
joint_trajectory_action,48.0,48.0,48.0,48.0
cob_control_mode_adapter,18.0,18.0,18.0,18.0
cob_image_flip,54.0,137.0,80.25,321.0
pr2_gripper_sensor_action,41.0,63.0,49.2307692308,640.0
pr2_head_action,63.0,63.0,63.0,63.0
cob_phidgets,4.0,66.0,44.6153846154,580.0
cob_trajectory_controller,6.0,120.0,44.4545454545,489.0
ecl_mpl,4.0,49.0,31.0,186.0
single_joint_position_action,48.0,48.0,48.0,48.0
cob_utilities,52.0,253.0,96.9,969.0
turtlebot_actions,2.0,55.0,25.25,101.0
schunk_sdh,28.0,247.0,78.0769230769,2030.0
schunk_libm5api,19.0,231.0,84.5333333333,2536.0
cob_base_velocity_smoother,89.0,121.0,105.0,210.0
cob_kinematics,11.0,84.0,45.2857142857,317.0
cob_camera_sensors,0.0,135.0,47.2352941176,803.0
kobuki_controller_tutorial,50.0,70.0,60.0,120.0
turtlebot_arm_block_manipulation,35.0,66.0,49.8333333333,299.0
cob_cam3d_throttle,95.0,95.0,95.0,95.0
pr2_navigation_self_filter,28.0,237.0,78.4,784.0
ros_ethercat_hardware,0.0,129.0,50.5,404.0
sr_hardware_interface,49.0,54.0,51.5,103.0
pr2_ethercat,1.0,1.0,1.0,1.0
yocs_safety_controller,7.0,62.0,26.6666666667,80.0
ecl_converters_lite,19.0,72.0,45.5,91.0
pr2_arm_kinematics,34.0,158.0,54.1538461538,704.0
ur_kinematics,17.0,123.0,72.3333333333,434.0
pr2_power_board,1.0,121.0,61.0,305.0
ecl_ipc,12.0,81.0,55.5714285714,389.0
cob_light,0.0,73.0,50.1071428571,1403.0
ecl_sigslots,9.0,71.0,38.5,308.0
robot_mechanism_controllers,33.0,109.0,56.3888888889,1015.0
sr_utilities,7.0,143.0,50.0,550.0
cyberglove_trajectory,37.0,89.0,63.0,189.0
cob_canopen_motor,90.0,293.0,179.0,1253.0
pr2_mechanism_diagnostics,9.0,44.0,29.3333333333,176.0
cob_sick_s300,6.0,142.0,63.0714285714,883.0
cob_linear_nav,100.0,100.0,100.0,100.0
sr_ronex_utilities,27.0,73.0,50.0,100.0
industrial_utils,31.0,63.0,44.0,264.0
ecl_threads,0.0,134.0,41.7368421053,793.0
cob_obstacle_distance,26.0,95.0,42.2083333333,1013.0
ros_ethercat_loop,74.0,74.0,74.0,74.0
ethercat_hardware,0.0,236.0,52.7428571429,1846.0
yocs_diff_drive_pose_controller,33.0,146.0,89.5,179.0
turtlebot_navigation,35.0,35.0,35.0,35.0
kobuki_auto_docking,18.0,37.0,26.6666666667,80.0
ecl_time_lite,5.0,86.0,38.6,579.0
sr_ronex_transmissions,21.0,42.0,32.25,387.0
kobuki_node,8.0,127.0,43.1111111111,388.0
cob_sound,3.0,3.0,3.0,3.0
sr_ronex_external_protocol,74.0,74.0,74.0,74.0
pano_py,0.0,10.0,3.30769230769,43.0
grizzly_base,41.0,41.0,41.0,41.0
sr_self_test,27.0,64.0,36.3888888889,655.0
cob_footprint_observer,91.0,92.0,91.5,183.0
pr2_mechanism_controllers,35.0,203.0,85.2272727273,1875.0
ecl_converters,10.0,64.0,29.6,296.0
yocs_ar_pair_tracking,0.0,24.0,12.2,61.0
sr_remappers,28.0,69.0,47.75,382.0
joint_trajectory_generator,35.0,45.0,39.75,159.0
yocs_keyop,4.0,80.0,35.0,105.0
grizzly_teleop,28.0,28.0,28.0,28.0
yocs_math_toolkit,7.0,89.0,32.0,128.0
ecl_geometry,3.0,137.0,32.6666666667,1078.0
sr_movements,26.0,66.0,37.25,298.0
nao_path_follower,159.0,159.0,159.0,159.0
kobuki_dock_drive,49.0,101.0,74.4,372.0
ecl_errors,5.0,74.0,34.5,207.0
app_manager,1.0,2.0,1.375,22.0
cob_scan_unifier,138.0,158.0,148.0,296.0
ecl_eigen,0.0,650.0,25.1351819757,14503.0
pr2_controller_interface,3.0,17.0,10.0,20.0
cob_cartesian_controller,27.0,83.0,37.5,450.0
husky_base,0.0,220.0,51.5,1339.0
yocs_controllers,75.0,75.0,75.0,75.0
ecl_time,4.0,48.0,24.6333333333,739.0
semantic_point_annotator,13.0,165.0,67.2222222222,605.0
cob_relayboard,33.0,142.0,88.3333333333,795.0
abb_driver,4.0,48.0,30.5,122.0
cob_interactive_teleop,26.0,67.0,36.5714285714,256.0
pr2_run_stop_auto_restart,32.0,32.0,32.0,32.0
cob_vision_utils,0.0,178.0,80.625,645.0
pr2_gripper_action,38.0,38.0,38.0,38.0
turtlebot_panorama,20.0,136.0,74.6666666667,224.0
ecl_mobile_robot,23.0,103.0,46.75,187.0
pr2_teleop_general,33.0,134.0,66.75,267.0
sr_robot_lib,0.0,215.0,66.2580645161,2054.0
yocs_joyop,8.0,8.0,8.0,8.0
ecl_core_apps,3.0,330.0,40.9444444444,737.0
ecl_utilities,22.0,393.0,80.6153846154,1048.0
ecl_filesystem,3.0,44.0,19.25,77.0
yocs_waypoints_navi,0.0,45.0,18.3333333333,55.0
ecl_concepts,31.0,148.0,56.4285714286,395.0
ecl_math,1.0,47.0,22.375,179.0
ros_ethercat_eml,11.0,142.0,69.1666666667,1245.0
cob_head_axis,93.0,141.0,122.666666667,368.0
simple_message,0.0,309.0,67.5762711864,3987.0
abb_irb2400_moveit_plugins,39.0,205.0,109.333333333,328.0
ecl_linear_algebra,19.0,132.0,42.8,214.0
pr2_navigation_perception,28.0,40.0,34.0,68.0
pr2_gripper_sensor_controller,22.0,243.0,89.1111111111,802.0
pr2_tilt_laser_interface,10.0,70.0,40.0,80.0
kobuki_driver,1.0,154.0,34.0,1292.0
sr_gazebo_sim,24.0,30.0,27.0,54.0
hand_kinematics,21.0,87.0,57.4,574.0
pr2_controller_manager,0.0,80.0,34.0,306.0
ethercat_trigger_controllers,35.0,139.0,63.3333333333,380.0
ecl_formatters,8.0,93.0,50.6666666667,304.0
pr2_calibration_controllers,33.0,69.0,40.1,401.0
kobuki_ftdi,8.0,135.0,55.9166666667,671.0
ecl_sigslots_lite,1.0,125.0,47.5714285714,333.0
sr_tactile_sensors,29.0,75.0,46.1818181818,508.0
nao_teleop,16.0,114.0,53.6666666667,161.0
grizzly_motion,1.0,64.0,31.6153846154,411.0
cob_generic_can,56.0,120.0,81.75,654.0
turtlebot_follower,72.0,72.0,72.0,72.0
ecl_type_traits,0.0,222.0,55.0,385.0
sr_ronex_drivers,21.0,132.0,45.0,810.0
sr_edc_ethercat_drivers,2.0,150.0,58.375,934.0
kobuki_safety_controller,42.0,47.0,44.5,89.0
pr2_arm_move_ik,7.0,55.0,34.7142857143,243.0
cob_undercarriage_ctrl,125.0,268.0,203.666666667,611.0
pr2_computer_monitor,0.0,0.0,0.0,0.0
cob_pick_place_action,32.0,121.0,55.0,220.0
laser_tilt_controller_filter,36.0,54.0,45.0,90.0
sr_ronex_controllers,24.0,47.0,29.625,237.0
ros_ethercat_model,11.0,62.0,43.125,345.0
cob_model_identifier,0.0,68.0,34.3333333333,103.0
cob_object_detection_visualizer,68.0,68.0,68.0,68.0
sr_mechanism_model,27.0,50.0,37.5,375.0
kobuki_bumper2pc,30.0,56.0,43.0,86.0
industrial_robot_client,21.0,184.0,54.3333333333,1141.0
schunk_powercube_chain,0.0,278.0,106.85,2137.0
yocs_waypoint_provider,4.0,17.0,10.8,54.0
cob_sick_lms1xx,6.0,197.0,72.2,361.0
cob_omni_drive_controller,0.0,85.0,27.125,217.0
yocs_cmd_vel_mux,19.0,50.0,33.2,166.0
ar_track_alvar,0.0,274.0,30.3191489362,4275.0
cob_base_drive_chain,188.0,281.0,230.0,690.0
turtlebot_arm_kinect_calibration,28.0,50.0,36.6666666667,110.0
yocs_ar_marker_tracking,10.0,48.0,23.5,141.0
grizzly_msgs,24.0,24.0,24.0,24.0
pr2_hardware_interface,252.0,252.0,252.0,252.0
yocs_virtual_sensor,16.0,24.0,20.0,40.0
kobuki_random_walker,28.0,83.0,55.5,111.0
ecl_command_line,14.0,239.0,77.7826086957,1789.0
power_monitor,38.0,51.0,43.8333333333,263.0
kobuki_keyop,43.0,92.0,66.0,198.0
ecl_config,13.0,40.0,23.75,190.0
kdl_coupling,8.0,111.0,41.75,334.0
orocos_kdl,0.0,304.0,41.9457831325,6963.0
pr2_teleop,29.0,58.0,40.6666666667,122.0
pr2_mechanism_model,24.0,224.0,60.2727272727,1326.0
