package,loc_min,loc_max,loc_avg,loc_sum
ecl_statistics,40.0,162.0,101.0,202.0
sr_hand,3.0,405.0,86.6470588235,2946.0
sr_mechanism_controllers,14.0,722.0,111.6875,3574.0
cob_frame_tracker,8.0,467.0,136.285714286,954.0
turtlebot_teleop,65.0,65.0,65.0,65.0
sr_example,24.0,24.0,24.0,24.0
turtlebot_arm_ikfast_plugin,181.0,4574.0,1763.0,5289.0
yocs_velocity_smoother,27.0,210.0,118.5,237.0
ocean_battery_driver,80.0,773.0,335.75,1343.0
naoqi_driver,4.0,975.0,57.17,5717.0
ecl_exceptions,3.0,228.0,49.1666666667,295.0
sr_ronex_hardware_interface,29.0,39.0,34.0,68.0
sr_ronex_examples,17.0,74.0,47.8333333333,287.0
yocs_navigator,11.0,177.0,71.375,571.0
cob_voltage_control,57.0,167.0,112.0,224.0
ecl_devices,1.0,225.0,62.3235294118,2119.0
ecl_io,1.0,101.0,41.125,329.0
cyberglove,9.0,267.0,86.7,867.0
cob_lookat_action,252.0,252.0,252.0,252.0
cob_twist_controller,7.0,408.0,72.6,3630.0
roboteq_driver,23.0,170.0,62.6,313.0
pano_core,3.0,671.0,106.369565217,4893.0
cob_teleop,124.0,494.0,296.333333333,889.0
ecl_containers,1.0,155.0,42.5652173913,979.0
cob_collision_velocity_filter,29.0,495.0,203.0,812.0
ecl_streams,1.0,111.0,23.4736842105,446.0
joint_trajectory_action,241.0,241.0,241.0,241.0
cob_control_mode_adapter,326.0,326.0,326.0,326.0
cob_image_flip,8.0,233.0,76.0,304.0
pr2_gripper_sensor_action,46.0,170.0,106.461538462,1384.0
pr2_head_action,367.0,367.0,367.0,367.0
cob_phidgets,5.0,142.0,56.2307692308,731.0
cob_trajectory_controller,13.0,351.0,112.272727273,1235.0
ecl_mpl,6.0,37.0,14.3333333333,86.0
single_joint_position_action,155.0,155.0,155.0,155.0
cob_utilities,3.0,510.0,89.1,891.0
turtlebot_actions,29.0,171.0,96.25,385.0
schunk_sdh,1.0,592.0,66.3461538462,1725.0
schunk_libm5api,2.0,4336.0,376.2,11286.0
cob_base_velocity_smoother,39.0,303.0,171.0,342.0
cob_kinematics,26.0,18625.0,4035.28571429,28247.0
cob_camera_sensors,1.0,519.0,108.235294118,1840.0
kobuki_controller_tutorial,30.0,68.0,49.0,98.0
turtlebot_arm_block_manipulation,109.0,253.0,169.666666667,1018.0
cob_cam3d_throttle,91.0,91.0,91.0,91.0
pr2_navigation_self_filter,3.0,625.0,225.4,2254.0
ros_ethercat_hardware,6.0,452.0,128.875,1031.0
sr_hardware_interface,141.0,257.0,199.0,398.0
pr2_ethercat,130.0,130.0,130.0,130.0
yocs_safety_controller,27.0,117.0,64.3333333333,193.0
ecl_converters_lite,25.0,26.0,25.5,51.0
pr2_arm_kinematics,5.0,476.0,150.923076923,1962.0
ur_kinematics,6.0,622.0,218.166666667,1309.0
pr2_power_board,63.0,745.0,389.2,1946.0
ecl_ipc,3.0,126.0,64.4285714286,451.0
cob_light,11.0,328.0,59.9642857143,1679.0
ecl_sigslots,8.0,87.0,35.625,285.0
robot_mechanism_controllers,20.0,831.0,145.777777778,2624.0
sr_utilities,36.0,193.0,83.0909090909,914.0
cyberglove_trajectory,8.0,316.0,121.333333333,364.0
cob_canopen_motor,24.0,890.0,213.571428571,1495.0
pr2_mechanism_diagnostics,10.0,78.0,34.5,207.0
cob_sick_s300,8.0,245.0,92.3571428571,1293.0
cob_linear_nav,415.0,415.0,415.0,415.0
sr_ronex_utilities,53.0,57.0,55.0,110.0
industrial_utils,7.0,97.0,40.6666666667,244.0
ecl_threads,1.0,221.0,59.4736842105,1130.0
cob_obstacle_distance,1.0,503.0,79.5,1908.0
ros_ethercat_loop,478.0,478.0,478.0,478.0
ethercat_hardware,5.0,967.0,171.914285714,6017.0
yocs_diff_drive_pose_controller,70.0,294.0,182.0,364.0
turtlebot_navigation,59.0,59.0,59.0,59.0
kobuki_auto_docking,34.0,121.0,64.3333333333,193.0
ecl_time_lite,1.0,68.0,22.1333333333,332.0
sr_ronex_transmissions,13.0,142.0,54.0,648.0
kobuki_node,2.0,317.0,105.888888889,953.0
cob_sound,206.0,206.0,206.0,206.0
sr_ronex_external_protocol,28.0,28.0,28.0,28.0
pano_py,5.0,122.0,40.3846153846,525.0
grizzly_base,109.0,109.0,109.0,109.0
sr_self_test,17.0,295.0,85.8888888889,1546.0
cob_footprint_observer,25.0,255.0,140.0,280.0
pr2_mechanism_controllers,27.0,733.0,153.318181818,3373.0
ecl_converters,9.0,95.0,39.9,399.0
yocs_ar_pair_tracking,22.0,146.0,69.2,346.0
sr_remappers,9.0,102.0,36.625,293.0
joint_trajectory_generator,11.0,151.0,68.0,272.0
yocs_keyop,15.0,311.0,120.666666667,362.0
grizzly_teleop,92.0,92.0,92.0,92.0
yocs_math_toolkit,36.0,221.0,85.75,343.0
ecl_geometry,1.0,224.0,55.7878787879,1841.0
sr_movements,9.0,148.0,41.75,334.0
nao_path_follower,652.0,652.0,652.0,652.0
