package,cc_min,cc_max,cc_avg
cob_relayboard,1.0,20.0,4.47222222222
schunk_powercube_chain,1.0,34.0,3.20618556701
cob_frame_tracker,1.0,16.0,5.09090909091
cob_obstacle_distance,1.0,19.0,3.56451612903
cob_light,1.0,22.0,3.025
cob_generic_can,1.0,23.0,3.92307692308
cob_footprint_observer,1.0,38.0,9.14285714286
cob_canopen_motor,1.0,37.0,3.52459016393
cob_scan_unifier,1.0,14.0,3.625
cob_sick_s300,1.0,24.0,5.74285714286
cob_linear_nav,1.0,19.0,6.2
cob_voltage_control,2.0,21.0,8.66666666667
cob_cartesian_controller,1.0,21.0,5.2962962963
cob_undercarriage_ctrl,1.0,15.0,5.0
cob_interactive_teleop,1.0,5.0,2.28571428571
cob_control_mode_adapter,1.0,18.0,8.2
cob_pick_place_action,1.0,12.0,3.32142857143
cob_lookat_action,2.0,12.0,7.25
cob_twist_controller,1.0,16.0,3.06666666667
cob_object_detection_visualizer,1.0,9.0,5.0
cob_teleop,1.0,149.0,16.75
cob_vision_utils,1.0,28.0,9.70588235294
cob_sick_lms1xx,1.0,49.0,8.72727272727
cob_omni_drive_controller,1.0,20.0,3.5641025641
cob_image_flip,1.0,35.0,5.1
cob_model_identifier,1.0,13.0,5.72727272727
cob_base_drive_chain,1.0,47.0,9.0
cob_collision_velocity_filter,1.0,36.0,10.6666666667
cob_phidgets,1.0,14.0,2.45161290323
cob_sound,1.0,6.0,2.0
cob_trajectory_controller,1.0,17.0,4.25490196078
cob_utilities,1.0,30.0,4.45283018868
schunk_sdh,1.0,14.0,4.89189189189
schunk_libm5api,1.0,79.0,7.57014925373
cob_head_axis,1.0,22.0,2.47368421053
cob_kinematics,1.0,3186.0,47.4811320755
cob_camera_sensors,1.0,43.0,6.36363636364
cob_base_velocity_smoother,1.0,8.0,4.4
cob_cam3d_throttle,1.0,3.0,1.66666666667
orocos_kdl,1.0,87.0,2.78833693305
