package,com_min,com_max,com_avg,com_sum
cob_relayboard,33.0,142.0,88.3333333333,795.0
schunk_powercube_chain,0.0,278.0,106.85,2137.0
cob_frame_tracker,0.0,79.0,30.1666666667,181.0
cob_obstacle_distance,26.0,95.0,42.2083333333,1013.0
cob_light,0.0,73.0,50.1071428571,1403.0
cob_generic_can,56.0,120.0,81.75,654.0
cob_footprint_observer,91.0,92.0,91.5,183.0
cob_canopen_motor,90.0,293.0,179.0,1253.0
cob_scan_unifier,138.0,158.0,148.0,296.0
cob_sick_s300,6.0,142.0,63.0714285714,883.0
cob_linear_nav,100.0,100.0,100.0,100.0
cob_voltage_control,5.0,17.0,11.0,22.0
cob_cartesian_controller,27.0,83.0,37.5,450.0
cob_undercarriage_ctrl,125.0,268.0,203.666666667,611.0
cob_interactive_teleop,26.0,67.0,36.5714285714,256.0
cob_control_mode_adapter,18.0,18.0,18.0,18.0
cob_pick_place_action,32.0,121.0,55.0,220.0
cob_lookat_action,40.0,40.0,40.0,40.0
cob_twist_controller,0.0,97.0,39.2448979592,1923.0
cob_object_detection_visualizer,68.0,68.0,68.0,68.0
cob_teleop,3.0,262.0,86.2,431.0
cob_vision_utils,0.0,178.0,80.625,645.0
cob_sick_lms1xx,6.0,197.0,72.2,361.0
cob_omni_drive_controller,0.0,85.0,27.125,217.0
cob_image_flip,54.0,137.0,80.25,321.0
cob_model_identifier,0.0,68.0,34.3333333333,103.0
cob_base_drive_chain,188.0,281.0,230.0,690.0
cob_collision_velocity_filter,74.0,129.0,100.0,400.0
cob_phidgets,4.0,66.0,44.6153846154,580.0
cob_sound,3.0,3.0,3.0,3.0
cob_trajectory_controller,6.0,120.0,44.4545454545,489.0
cob_utilities,52.0,253.0,96.9,969.0
schunk_sdh,28.0,247.0,78.0769230769,2030.0
schunk_libm5api,19.0,231.0,84.5333333333,2536.0
cob_head_axis,93.0,141.0,122.666666667,368.0
cob_kinematics,11.0,84.0,45.2857142857,317.0
cob_camera_sensors,0.0,135.0,47.2352941176,803.0
cob_base_velocity_smoother,89.0,121.0,105.0,210.0
cob_cam3d_throttle,95.0,95.0,95.0,95.0
orocos_kdl,0.0,304.0,41.9457831325,6963.0
