Package,Repository,Contributors,Commits,CC (avg),Cpp LoC
cob_relayboard,cob_driver,49,2706,4.47222222222,1037
schunk_powercube_chain,schunk_modular_robotics,34,1270,3.20618556701,3499
cob_frame_tracker,cob_control,24,937,5.09090909091,862
cob_obstacle_distance,cob_control,24,937,3.56451612903,1937
cob_light,cob_driver,49,2706,3.025,1679
cob_generic_can,cob_driver,49,2706,3.92307692308,857
cob_footprint_observer,cob_control,24,937,9.14285714286,280
cob_canopen_motor,cob_driver,49,2706,3.52459016393,1495
cob_scan_unifier,cob_navigation,27,1304,3.625,225
cob_sick_s300,cob_driver,49,2706,5.74285714286,1293
cob_linear_nav,cob_navigation,27,1304,6.2,415
cob_voltage_control,cob_driver,49,2706,8.66666666667,224
cob_cartesian_controller,cob_control,24,937,5.2962962963,1075
cob_undercarriage_ctrl,cob_driver,49,2706,5.0,881
cob_interactive_teleop,cob_command_tools,31,1609,2.28571428571,263
cob_control_mode_adapter,cob_control,24,937,8.2,279
cob_pick_place_action,cob_manipulation,15,1198,3.32142857143,880
cob_lookat_action,cob_manipulation,15,1198,7.25,252
cob_twist_controller,cob_control,24,937,3.06666666667,3444
cob_object_detection_visualizer,cob_perception_common,11,247,5.0,102
cob_teleop,cob_command_tools,31,1609,16.75,1691
cob_vision_utils,cob_perception_common,11,247,9.70588235294,1161
cob_sick_lms1xx,cob_driver,49,2706,8.72727272727,607
cob_omni_drive_controller,cob_control,24,937,3.5641025641,642
cob_image_flip,cob_perception_common,11,247,5.1,304
cob_model_identifier,cob_control,24,937,5.72727272727,691
cob_base_drive_chain,cob_driver,49,2706,9.0,1766
cob_collision_velocity_filter,cob_control,24,937,10.6666666667,812
cob_phidgets,cob_driver,49,2706,2.45161290323,731
cob_sound,cob_driver,49,2706,2.0,206
cob_trajectory_controller,cob_control,24,937,4.25490196078,1235
cob_utilities,cob_driver,49,2706,4.45283018868,891
schunk_sdh,schunk_modular_robotics,34,1270,4.89189189189,1725
schunk_libm5api,schunk_modular_robotics,34,1270,7.57014925373,11286
cob_head_axis,cob_driver,49,2706,2.47368421053,749
cob_kinematics,cob_manipulation,15,1198,47.4811320755,28247
cob_camera_sensors,cob_driver,49,2706,6.36363636364,1840
cob_base_velocity_smoother,cob_control,24,937,4.4,342
cob_cam3d_throttle,cob_perception_common,11,247,1.66666666667,91
orocos_kdl,orocos_kinematics_dynamics,22,494,2.78833693305,11072
