package,com_min,com_max,com_avg,com_sum
ecl_statistics,58.0,92.0,75.0,150.0
yocs_keyop,4.0,80.0,35.0,105.0
ecl_linear_algebra,19.0,132.0,42.8,214.0
yocs_navigator,4.0,9.0,5.75,46.0
yocs_safety_controller,7.0,62.0,26.6666666667,80.0
yocs_math_toolkit,7.0,89.0,32.0,128.0
ecl_geometry,3.0,137.0,32.6666666667,1078.0
ecl_converters_lite,19.0,72.0,45.5,91.0
ecl_filesystem,3.0,44.0,19.25,77.0
ecl_errors,5.0,74.0,34.5,207.0
ecl_sigslots_lite,1.0,125.0,47.5714285714,333.0
kobuki_ftdi,8.0,135.0,55.9166666667,671.0
ecl_sigslots,9.0,71.0,38.5,308.0
ecl_exceptions,2.0,32.0,18.5,111.0
ecl_time_lite,5.0,86.0,38.6,579.0
ar_track_alvar,0.0,274.0,30.3191489362,4275.0
yocs_waypoint_provider,4.0,17.0,10.8,54.0
ecl_eigen,0.0,650.0,25.1351819757,14503.0
ecl_type_traits,0.0,222.0,55.0,385.0
ecl_command_line,14.0,239.0,77.7826086957,1789.0
ecl_ipc,12.0,81.0,55.5714285714,389.0
ecl_devices,3.0,261.0,56.7941176471,1931.0
kobuki_safety_controller,42.0,47.0,44.5,89.0
yocs_controllers,75.0,75.0,75.0,75.0
ecl_formatters,8.0,93.0,50.6666666667,304.0
yocs_ar_marker_tracking,10.0,48.0,23.5,141.0
ecl_threads,0.0,134.0,41.7368421053,793.0
ecl_time,4.0,48.0,24.6333333333,739.0
kobuki_driver,1.0,154.0,34.0,1292.0
ecl_containers,0.0,44.0,18.5217391304,426.0
ecl_mobile_robot,23.0,103.0,46.75,187.0
yocs_diff_drive_pose_controller,33.0,146.0,89.5,179.0
kobuki_bumper2pc,30.0,56.0,43.0,86.0
ecl_streams,0.0,77.0,15.5789473684,296.0
yocs_cmd_vel_mux,19.0,50.0,33.2,166.0
ecl_config,13.0,40.0,23.75,190.0
yocs_joyop,8.0,8.0,8.0,8.0
kobuki_node,8.0,127.0,43.1111111111,388.0
ecl_core_apps,3.0,330.0,40.9444444444,737.0
ecl_io,0.0,43.0,20.75,166.0
ecl_utilities,22.0,393.0,80.6153846154,1048.0
kobuki_auto_docking,18.0,37.0,26.6666666667,80.0
ecl_mpl,4.0,49.0,31.0,186.0
yocs_virtual_sensor,16.0,24.0,20.0,40.0
yocs_waypoints_navi,0.0,45.0,18.3333333333,55.0
kobuki_random_walker,28.0,83.0,55.5,111.0
ecl_concepts,31.0,148.0,56.4285714286,395.0
ecl_math,1.0,47.0,22.375,179.0
kobuki_dock_drive,49.0,101.0,74.4,372.0
ecl_converters,10.0,64.0,29.6,296.0
kobuki_keyop,43.0,92.0,66.0,198.0
kobuki_controller_tutorial,50.0,70.0,60.0,120.0
yocs_ar_pair_tracking,0.0,24.0,12.2,61.0
yocs_velocity_smoother,5.0,67.0,36.0,72.0
