package,loc_min,loc_max,loc_avg,loc_sum
ecl_statistics,40.0,162.0,101.0,202.0
yocs_keyop,15.0,311.0,120.666666667,362.0
ecl_linear_algebra,3.0,96.0,40.2,201.0
yocs_navigator,11.0,177.0,71.375,571.0
yocs_safety_controller,27.0,117.0,64.3333333333,193.0
yocs_math_toolkit,36.0,221.0,85.75,343.0
ecl_geometry,1.0,224.0,55.7878787879,1841.0
ecl_converters_lite,25.0,26.0,25.5,51.0
ecl_filesystem,1.0,11.0,5.0,20.0
ecl_errors,1.0,44.0,20.1666666667,121.0
ecl_sigslots_lite,18.0,120.0,51.4285714286,360.0
kobuki_ftdi,11.0,140.0,66.3333333333,796.0
ecl_sigslots,8.0,87.0,35.625,285.0
ecl_exceptions,3.0,228.0,49.1666666667,295.0
ecl_time_lite,1.0,68.0,22.1333333333,332.0
ar_track_alvar,1.0,771.0,100.290780142,14141.0
yocs_waypoint_provider,13.0,139.0,65.8,329.0
ecl_eigen,1.0,1026.0,63.0034662045,36353.0
ecl_type_traits,1.0,84.0,43.2857142857,303.0
ecl_command_line,8.0,238.0,83.8695652174,1929.0
ecl_ipc,3.0,126.0,64.4285714286,451.0
ecl_devices,1.0,225.0,62.3235294118,2119.0
kobuki_safety_controller,37.0,49.0,43.0,86.0
yocs_controllers,44.0,44.0,44.0,44.0
ecl_formatters,1.0,173.0,61.1666666667,367.0
yocs_ar_marker_tracking,8.0,140.0,70.0,420.0
ecl_threads,1.0,221.0,59.4736842105,1130.0
ecl_time,1.0,283.0,37.7333333333,1132.0
kobuki_driver,4.0,420.0,66.2894736842,2519.0
ecl_containers,1.0,155.0,42.5652173913,979.0
ecl_mobile_robot,11.0,60.0,31.75,127.0
yocs_diff_drive_pose_controller,70.0,294.0,182.0,364.0
kobuki_bumper2pc,30.0,83.0,56.5,113.0
ecl_streams,1.0,111.0,23.4736842105,446.0
yocs_cmd_vel_mux,20.0,99.0,49.4,247.0
ecl_config,5.0,524.0,75.75,606.0
yocs_joyop,171.0,171.0,171.0,171.0
kobuki_node,2.0,317.0,105.888888889,953.0
ecl_core_apps,5.0,314.0,98.2222222222,1768.0
ecl_io,1.0,101.0,41.125,329.0
ecl_utilities,11.0,267.0,65.3846153846,850.0
kobuki_auto_docking,34.0,121.0,64.3333333333,193.0
ecl_mpl,6.0,37.0,14.3333333333,86.0
yocs_virtual_sensor,109.0,164.0,136.5,273.0
yocs_waypoints_navi,13.0,352.0,137.333333333,412.0
kobuki_random_walker,52.0,318.0,185.0,370.0
ecl_concepts,13.0,142.0,51.2857142857,359.0
ecl_math,9.0,33.0,18.75,150.0
kobuki_dock_drive,32.0,217.0,104.2,521.0
ecl_converters,9.0,95.0,39.9,399.0
kobuki_keyop,16.0,314.0,123.0,369.0
kobuki_controller_tutorial,30.0,68.0,49.0,98.0
yocs_ar_pair_tracking,22.0,146.0,69.2,346.0
yocs_velocity_smoother,27.0,210.0,118.5,237.0
