package,com_min,com_max,com_avg,com_sum
joint_trajectory_generator,35.0,45.0,39.75,159.0
pr2_controller_manager,0.0,80.0,34.0,306.0
pr2_navigation_perception,28.0,40.0,34.0,68.0
ethercat_trigger_controllers,35.0,139.0,63.3333333333,380.0
laser_tilt_controller_filter,36.0,54.0,45.0,90.0
pr2_arm_kinematics,34.0,158.0,54.1538461538,704.0
pr2_power_board,1.0,121.0,61.0,305.0
ocean_battery_driver,9.0,143.0,55.5,222.0
app_manager,1.0,2.0,1.375,22.0
power_monitor,38.0,51.0,43.8333333333,263.0
single_joint_position_action,48.0,48.0,48.0,48.0
pr2_controller_interface,3.0,17.0,10.0,20.0
pr2_ethercat,1.0,1.0,1.0,1.0
pr2_arm_move_ik,7.0,55.0,34.7142857143,243.0
pr2_computer_monitor,0.0,0.0,0.0,0.0
pr2_hardware_interface,252.0,252.0,252.0,252.0
semantic_point_annotator,13.0,165.0,67.2222222222,605.0
pr2_mechanism_diagnostics,9.0,44.0,29.3333333333,176.0
pr2_run_stop_auto_restart,32.0,32.0,32.0,32.0
joint_trajectory_action,48.0,48.0,48.0,48.0
pr2_teleop,29.0,58.0,40.6666666667,122.0
pr2_teleop_general,33.0,134.0,66.75,267.0
pr2_gripper_sensor_action,41.0,63.0,49.2307692308,640.0
pr2_gripper_action,38.0,38.0,38.0,38.0
pr2_head_action,63.0,63.0,63.0,63.0
pr2_calibration_controllers,33.0,69.0,40.1,401.0
robot_mechanism_controllers,33.0,109.0,56.3888888889,1015.0
ethercat_hardware,0.0,236.0,52.7428571429,1846.0
pr2_mechanism_controllers,35.0,203.0,85.2272727273,1875.0
pr2_navigation_self_filter,28.0,237.0,78.4,784.0
pr2_gripper_sensor_controller,22.0,243.0,89.1111111111,802.0
pr2_tilt_laser_interface,10.0,70.0,40.0,80.0
orocos_kdl,0.0,304.0,41.9457831325,6963.0
pr2_mechanism_model,24.0,224.0,60.2727272727,1326.0
