package,loc_min,loc_max,loc_avg,loc_sum
joint_trajectory_generator,11.0,151.0,68.0,272.0
pr2_controller_manager,1.0,639.0,152.333333333,1371.0
pr2_navigation_perception,1.0,62.0,31.5,63.0
ethercat_trigger_controllers,25.0,167.0,78.5,471.0
laser_tilt_controller_filter,1.0,105.0,53.0,106.0
pr2_arm_kinematics,5.0,476.0,150.923076923,1962.0
pr2_power_board,63.0,745.0,389.2,1946.0
ocean_battery_driver,80.0,773.0,335.75,1343.0
app_manager,23.0,44.0,30.4375,487.0
power_monitor,33.0,201.0,103.166666667,619.0
single_joint_position_action,155.0,155.0,155.0,155.0
pr2_controller_interface,18.0,21.0,19.5,39.0
pr2_ethercat,130.0,130.0,130.0,130.0
pr2_arm_move_ik,11.0,211.0,76.8571428571,538.0
pr2_computer_monitor,71.0,71.0,71.0,71.0
pr2_hardware_interface,303.0,303.0,303.0,303.0
semantic_point_annotator,8.0,309.0,79.4444444444,715.0
pr2_mechanism_diagnostics,10.0,78.0,34.5,207.0
pr2_run_stop_auto_restart,36.0,36.0,36.0,36.0
joint_trajectory_action,241.0,241.0,241.0,241.0
pr2_teleop,54.0,279.0,150.0,450.0
pr2_teleop_general,141.0,1190.0,652.25,2609.0
pr2_gripper_sensor_action,46.0,170.0,106.461538462,1384.0
pr2_gripper_action,162.0,162.0,162.0,162.0
pr2_head_action,367.0,367.0,367.0,367.0
pr2_calibration_controllers,20.0,359.0,117.2,1172.0
robot_mechanism_controllers,20.0,831.0,145.777777778,2624.0
ethercat_hardware,5.0,967.0,171.914285714,6017.0
pr2_mechanism_controllers,27.0,733.0,153.318181818,3373.0
pr2_navigation_self_filter,3.0,625.0,225.4,2254.0
pr2_gripper_sensor_controller,14.0,378.0,122.0,1098.0
pr2_tilt_laser_interface,29.0,191.0,110.0,220.0
orocos_kdl,2.0,495.0,66.6987951807,11072.0
pr2_mechanism_model,20.0,436.0,118.5,2607.0
