package,cc_min,cc_max,cc_avg
sr_hand,1.0,14.0,2.54166666667
sr_ronex_utilities,1.0,9.0,2.6
sr_ronex_examples,1.0,4.0,2.07692307692
sr_example,1.0,2.0,1.5
hand_kinematics,1.0,31.0,6.34285714286
sr_hardware_interface,1.0,3.0,1.55555555556
sr_tactile_sensors,1.0,9.0,2.5
sr_ronex_hardware_interface,5.0,5.0,5.0
sr_utilities,1.0,8.0,1.9696969697
cyberglove_trajectory,1.0,9.0,4.42857142857
sr_ronex_drivers,1.0,18.0,3.61764705882
sr_mechanism_controllers,1.0,46.0,5.85333333333
sr_edc_ethercat_drivers,1.0,12.0,3.58333333333
ros_ethercat_model,1.0,10.0,3.61904761905
cyberglove,1.0,53.0,4.88
sr_ronex_controllers,1.0,33.0,10.4285714286
sr_mechanism_model,4.0,9.0,6.4
sr_robot_lib,1.0,38.0,4.95238095238
sr_ronex_transmissions,1.0,17.0,5.83333333333
kdl_coupling,1.0,17.0,3.46153846154
ros_ethercat_hardware,1.0,16.0,5.60714285714
sr_self_test,1.0,30.0,4.0625
sr_gazebo_sim,2.0,8.0,3.5
sr_movements,1.0,10.0,3.77777777778
ros_ethercat_loop,1.0,20.0,6.08333333333
sr_remappers,1.0,9.0,3.125
orocos_kdl,1.0,87.0,3.1746031746
