package,loc_min,loc_max,loc_avg,loc_sum
sr_hand,3.0,405.0,86.6470588235,2946.0
sr_ronex_utilities,55.0,57.0,56.0,112.0
sr_ronex_examples,17.0,73.0,47.6666666667,286.0
sr_example,24.0,24.0,24.0,24.0
hand_kinematics,51.0,506.0,257.5,2575.0
sr_hardware_interface,141.0,256.0,198.5,397.0
sr_tactile_sensors,21.0,177.0,76.2727272727,839.0
sr_ronex_hardware_interface,29.0,39.0,34.0,68.0
sr_utilities,36.0,193.0,83.0909090909,914.0
cyberglove_trajectory,8.0,316.0,121.333333333,364.0
sr_ronex_drivers,9.0,328.0,78.1111111111,1406.0
sr_mechanism_controllers,14.0,722.0,111.6875,3574.0
sr_edc_ethercat_drivers,1.0,236.0,69.0625,1105.0
ros_ethercat_model,27.0,125.0,79.625,637.0
cyberglove,9.0,267.0,86.7,867.0
sr_ronex_controllers,19.0,182.0,63.125,505.0
sr_ronex_external_protocol,28.0,28.0,28.0,28.0
sr_mechanism_model,11.0,49.0,27.1,271.0
sr_robot_lib,7.0,627.0,119.322580645,3699.0
sr_ronex_transmissions,13.0,134.0,52.1666666667,626.0
kdl_coupling,15.0,94.0,50.5,404.0
ros_ethercat_hardware,6.0,452.0,128.875,1031.0
sr_self_test,17.0,295.0,85.8888888889,1546.0
sr_gazebo_sim,31.0,161.0,96.0,192.0
ros_ethercat_eml,3.0,206.0,72.1666666667,1299.0
sr_movements,9.0,148.0,41.75,334.0
ros_ethercat_loop,478.0,478.0,478.0,478.0
sr_remappers,9.0,102.0,36.625,293.0
orocos_kdl,2.0,495.0,66.6987951807,11072.0
