package,rule,violations
yocs_keyop,MAX_COM_RATIO,1
yocs_keyop,MAX_COM_RATIO,1
yocs_keyop,MAX_CC,1
yocs_keyop,MAX_COUPLING,1
yocs_keyop,MAX_LINE_LENGTH,15
yocs_keyop,OPEN_CURLY_BRACE,54
yocs_keyop,INDENT_ACCESS_MODIFIERS,2
yocs_keyop,ELSE_STATEMENT_ON_ITS_LINE,12
yocs_keyop,LICENSE_STATEMENT,3
yocs_keyop,WHITESPACE_BEFORE_COMMENTS,10
yocs_keyop,INCLUDE_ORDER,1
yocs_keyop,INCLUDE_WHAT_YOU_USE,1
yocs_keyop,INTEGER_TYPES,2
ecl_linear_algebra,MAX_COM_RATIO,5
ecl_linear_algebra,MAX_COM_RATIO,4
ecl_linear_algebra,MAX_LINE_LENGTH,23
ecl_linear_algebra,SPACES_OVER_TABS,82
ecl_linear_algebra,OPEN_CURLY_BRACE,8
ecl_linear_algebra,OPEN_CURLY_BRACE,16
ecl_linear_algebra,INDENT_ACCESS_MODIFIERS,4
ecl_linear_algebra,BLANK_LINES_IN_CODE_BLOCKS,3
ecl_linear_algebra,WHITESPACE_AROUND_ASSIGNMENT,2
ecl_linear_algebra,WHITESPACE_AROUND_BINARY_OPERA,2
ecl_linear_algebra,WHITESPACE_AFTER_COMMA,17
ecl_linear_algebra,WHITESPACE_BEFORE_OPENING_BRAC,3
ecl_linear_algebra,ELSE_STATEMENT_ON_ITS_LINE,1
ecl_linear_algebra,SPACE_INDENTATION,12
ecl_linear_algebra,ONE_COMMAND_PER_LINE,3
ecl_linear_algebra,LICENSE_STATEMENT,23
ecl_linear_algebra,WHITESPACE_AFTER_PARENTHESIS,5
ecl_linear_algebra,WHITESPACE_BEFORE_PARENTHESIS,3
ecl_linear_algebra,WHITESPACE_BEFORE_COMMENTS,5
ecl_linear_algebra,WHITESPACE_BEFORE_COMMENT_TEXT,1
ecl_linear_algebra,INCLUDE_ORDER,5
ecl_linear_algebra,INCLUDE_WHAT_YOU_USE,1
ecl_linear_algebra,POINTLESS_EMPTY_STATEMENT,1
